Unnamed: 0,Country_name,x2011_AO,x2014_AO,x2017_AO,x2011_PCI,x2014_PCI,x2017_PCI,x2011_SUBS,x2014_SUBS,x2017_SUBS,2011,2014,2017,x2011_SUBS_norm,x2014_SUBS_norm,x2017_SUBS_norm
93,Rwanda,32.76382065,42.11691284,50.01979446,545,590,595,4446190,7747020,8819220,10293.333,11083.628999999999,11980.96,43.194852435066466,69.8960602163786,73.61029500140222
94,Saudi Arabia,46.42066193,69.40958405,71.69812012,18570,19451,17074,54000000,52735000,40211000,28267.591,30916.603,33101.183,191.03148902925616,170.57177982975685,121.47904200281907
95,Senegal,5.821141243,15.42457199,42.34401703,1198,1211,1148,9352870,14379700,15758400,13033.813999999998,14174.74,15419.354,71.75850445617837,101.44595244780503,102.19883401081525
96,Serbia,62.21622086,83.09233856,71.44104767,5564,5297,4863,10182000,9344980,8621770,8963.761,8898.284,8829.623,113.5907126484073,105.02002408554279,97.64595838350063
97,Sierra Leone,15.34175587,15.58001041,19.80875969,375,572,401,2137000,4756800,6625000,6563.238,7017.153,7488.427,32.560147902605394,67.78817563191227,88.46984820710678
98,Singapore,98.22189331,96.3526001,97.9311676,45068,47718,47737,7794300,8103800,8381900,5263.64,5525.628000000001,5708.0419999999995,148.0781360427385,146.6584431670029,146.84369876745828
100,Slovenia,97.1437149,97.24451447,97.53340149,19719,18976,18545,2168550,2326390,2443170,2051.278,2067.488,2076.395,105.71702129111706,112.52253942949126,117.664028279783
101,South Africa,53.64507294,70.31745148,69.2184906,6382,5168,4957,64000000,79280700,88497600,52003.759000000005,54544.184,57009.751,123.0680266786099,145.3513357171133,155.23239173593305
104,Spain,93.27760315,97.57530975,93.75570679,26176,24651,23805,52590500,50806300,52506900,47084.242,46777.927,46647.425,111.69448156349209,108.61169628145345,112.56119710787895
105,Sri Lanka,68.52616882,82.69138336,73.64646149,2960,3451,3670,18319400,22123000,28199100,20398.496,20788.512,21128.028,89.8076015016009,106.41935315043231,133.46773300376165
106,Sweden,98.99195099,99.7199173,99.74221039,51553,50801,45490,11454300,12312500,12519300,9466.705,9692.136999999999,9904.895,120.99563681344247,127.03596740326724,126.3950804122608
107,Tajikistan,2.534857273,11.45923328,47.02439499,896,1186,870,6324000,7999100,9904000,7697.507,8252.828000000001,8880.27,82.15646962061874,96.92556297065683,111.52814047320634
109,Thailand,72.66643524,78.1365509,81.59400177,4363,4492,5084,77449000,97096000,121530000,67518.379,68438.74799999999,69209.817,114.70802638789654,141.8728466511398,175.5964764362836
110,Togo,10.18523979,18.25146294,45.28935242,448,461,456,2695340,4516110,6069910,6595.939,7137.996999999999,7698.476,40.86362836284568,63.26858921347264,78.84560528603323
111,Turkey,57.60142899,56.6774826,68.59030914,9573,10203,8711,65321700,71888400,77800200,73443.254,77229.262,81116.451,88.94172907970554,93.08440627077339,95.91174051734586
112,Uganda,20.46142006,44.447155,59.19915009,635,621,496,16697000,20365900,24948900,33476.772000000004,36911.53,41166.587999999996,49.876373982533316,55.174900634029534,60.60473119608554
113,Ukraine,41.26857376,52.71481323,62.90233231,2909,2632,2236,55576500,61170200,55714700,45619.85,45111.53,44487.708,121.82525808392619,135.597706395682,125.23616635858157
114,United Kingdom,97.20128632,98.93105316,96.36631775,35731,39477,33877,77162300,78460700,79152800,64021.922,65423.047999999995,66727.463,120.52481023609383,119.92822468314226,118.6210241501314
116,Uruguay,23.54260063,45.58572769,63.86800385,12882,14394,14467,4757430,5497090,5097570,3368.926,3400.4390000000003,3436.645,141.21503410879313,161.65824471487355,148.32983913089657
117,Uzbekistan,22.50391769,40.71001434,37.08973694,1581,2205,1643,25441800,21639200,24265500,28977.006,30426.394,31959.773999999998,87.79996111399501,71.1198310256549,75.92513013389896
119,Zambia,21.36491013,35.64487076,45.86325836,1140,1321,1104,8164550,10114900,13438500,14023.198999999999,15399.793,16853.608,58.22173670929152,65.68205170030532,79.73663562128655
120,Zimbabwe,39.65121078,32.38925171,55.28513718,793,1134,1233,9200000,11798700,14092100,12894.323,13586.71,14236.598999999998,71.34922864891782,86.84000762509835,98.9850174188372
