Unnamed: 0,Country_name,x2011_AO,x2014_AO,x2017_AO,x2011_PCI,x2014_PCI,x2017_PCI,x2011_SUBS,x2014_SUBS,x2017_SUBS,2011,2014,2017,x2011_SUBS_norm,x2014_SUBS_norm,x2017_SUBS_norm
69,Malaysia,66.17381287,80.67462158,85.34375,7881,8431,7628,36661300,44928600,42338500,28650.962,29866.606,31104.655,1.279583562,1.504308859,1.361162823
70,Mali,8.213852882,20.07604027,35.41667938,661,691,664,10821900,23505600,22034100,15514.593,16934.213,18512.429,0.697530383,1.388053876,1.190232789
71,Mauritania,17.46181488,22.86588287,20.8725071,1424,1249,1260,3314770,3753330,4074160,3598.646,3930.894,4282.582,0.921115886,0.954828596,0.951332631
72,Mauritius,80.12320709,82.20826721,89.8425293,7493,9079,9681,1294100,1652000,1839500,1251.074,1257.351,1264.497,1.034391251,1.313873373,1.454728639
73,Mexico,27.42938423,39.14084625,36.9319191,7876,8544,7251,94583300,104948000,114329000,115695.468,120355.137,124777.326,0.81751949,0.871986046,0.916264226
75,Mongolia,77.71708679,91.82178497,92.97116852,2529,2974,2132,2942310,3027240,3886170,2770.357,2940.111,3113.788,1.062068896,1.029634595,1.248052212
76,Montenegro,50.43801498,59.82601166,68.36179352,6565,6480,6884,1159110,1013300,1044670,625.271,626.65,627.563,1.853772204,1.617011091,1.664645621
77,Nepal,25.30855751,33.80134964,45.38557434,642,691,816,13354500,23021300,36096400,27041.22,26905.982,27632.682,0.493857156,0.855620137,1.306293758
78,Netherlands,98.65853119,99.29560089,99.63761902,45259,43355,40898,19829300,19562000,20532000,16738.191,16892.517,17021.343,1.184674019,1.158027546,1.206250294
79,New Zealand,99.43672943,99.52553558,99.17844391,30788,36233,34385,4820000,5100000,6400000,4418.674,4567.522,4702.029,1.090824985,1.116579187,1.361114532
80,Nicaragua,14.21833229,19.43848419,30.86199188,1403,1633,1837,4823530,7067860,8179880,5903.035,6142.734,6384.843,0.817127122,1.150604926,1.281140351
81,Niger,1.521698713,6.706587791,15.52324486,453,477,439,4742880,8236400,8778880,17114.77,19240.182,21602.388,0.277122041,0.428083269,0.406384702
82,Nigeria,29.66753769,44.44198608,39.66685867,1900,2646,1585,95167300,138960000,144920000,162805.08,176404.931,190873.247,0.584547485,0.787733082,0.759247313
84,North Macedonia,73.69894409,71.79850006,76.56877136,3922,4271,4205,2213220,2224440,2008010,2072.484,2077.78,2081.996,1.067906917,1.070584951,0.964463909
85,Pakistan,10.30629635,13.03619194,21.29324532,1126,1235,1456,108895000,135762000,144526000,183340.168,195305.012,207906.21,0.593950585,0.69512809,0.695149991
86,Panama,24.9264946,43.66213989,46.49425888,8352,10967,13189,6735430,6906090,5280200,3706.479,3901.311,4106.764,1.817204414,1.770197249,1.285732513
87,Peru,20.45868492,28.97523308,42.60317993,4671,5571,5389,32461400,31880000,38915400,29264.314,30090.372,31444.299,1.109248623,1.059475104,1.237597951
88,Philippines,26.55592537,31.28583527,34.49840927,2374,2944,3157,94189800,111326000,115825000,95570.049,100513.137,105172.921,0.985557724,1.107576615,1.101281574
89,Poland,70.19429016,77.86217499,86.73330688,11860,12169,11642,50160200,56905300,50458900,38286.824,38091.095,37953.176,1.310116504,1.493926599,1.329504018
90,Portugal,81.22942352,87.38635254,92.34098816,18707,17752,17264,12334600,11895600,11764100,10569.388,10418.224,10288.527,1.167011751,1.141806895,1.143419267
91,Romania,44.59162521,60.83715439,57.75180435,7149,8056,8556,23420000,22920000,22400000,20336.718,20035.928,19653.966,1.151611583,1.143945017,1.139719078
92,Russian Federation,48.17848969,67.38309479,75.75888824,11267,11060,8553,203752000,221030000,227300000,143703.027,144664.837,145530.091,1.417868532,1.527876467,1.5618763
93,Rwanda,32.76382065,42.11691284,50.01979446,545,590,595,4446190,7747020,8819220,10293.333,11083.629,11980.96,0.431948524,0.698960602,0.73610295
94,Saudi Arabia,46.42066193,69.40958405,71.69812012,18570,19451,17074,54000000,52735000,40211000,28267.591,30916.603,33101.183,1.91031489,1.705717798,1.21479042
95,Senegal,5.821141243,15.42457199,42.34401703,1198,1211,1148,9352870,14379700,15758400,13033.814,14174.74,15419.354,0.717585045,1.014459524,1.02198834
96,Serbia,62.21622086,83.09233856,71.44104767,5564,5297,4863,10182000,9344980,8621770,8963.761,8898.284,8829.623,1.135907126,1.050200241,0.976459584
97,Sierra Leone,15.34175587,15.58001041,19.80875969,375,572,401,2137000,4756800,6625000,6563.238,7017.153,7488.427,0.325601479,0.677881756,0.884698482
98,Singapore,98.22189331,96.3526001,97.9311676,45068,47718,47737,7794300,8103800,8381900,5263.64,5525.628,5708.042,1.48078136,1.466584432,1.468436988
100,Slovenia,97.1437149,97.24451447,97.53340149,19719,18976,18545,2168550,2326390,2443170,2051.278,2067.488,2076.395,1.057170213,1.125225394,1.176640283
101,South Africa,53.64507294,70.31745148,69.2184906,6382,5168,4957,64000000,79280700,88497600,52003.759,54544.184,57009.751,1.230680267,1.453513357,1.552323917
104,Spain,93.27760315,97.57530975,93.75570679,26176,24651,23805,52590500,50806300,52506900,47084.242,46777.927,46647.425,1.116944816,1.086116963,1.125611971
105,Sri Lanka,68.52616882,82.69138336,73.64646149,2960,3451,3670,18319400,22123000,28199100,20398.496,20788.512,21128.028,0.898076015,1.064193532,1.33467733
106,Sweden,98.99195099,99.7199173,99.74221039,51553,50801,45490,11454300,12312500,12519300,9466.705,9692.137,9904.895,1.209956368,1.270359674,1.263950804
107,Tajikistan,2.534857273,11.45923328,47.02439499,896,1186,870,6324000,7999100,9904000,7697.507,8252.828,8880.27,0.821564696,0.96925563,1.115281405
109,Thailand,72.66643524,78.1365509,81.59400177,4363,4492,5084,77449000,97096000,121530000,67518.379,68438.748,69209.817,1.147080264,1.418728467,1.755964764
110,Togo,10.18523979,18.25146294,45.28935242,448,461,456,2695340,4516110,6069910,6595.939,7137.997,7698.476,0.408636284,0.632685892,0.788456053
111,Turkey,57.60142899,56.6774826,68.59030914,9573,10203,8711,65321700,71888400,77800200,73443.254,77229.262,81116.451,0.889417291,0.930844063,0.959117405
112,Uganda,20.46142006,44.447155,59.19915009,635,621,496,16697000,20365900,24948900,33476.772,36911.53,41166.588,0.49876374,0.551749006,0.606047312
113,Ukraine,41.26857376,52.71481323,62.90233231,2909,2632,2236,55576500,61170200,55714700,45619.85,45111.53,44487.708,1.218252581,1.355977064,1.252361664
114,United Kingdom,97.20128632,98.93105316,96.36631775,35731,39477,33877,77162300,78460700,79152800,64021.922,65423.048,66727.463,1.205248102,1.199282247,1.186210242
116,Uruguay,23.54260063,45.58572769,63.86800385,12882,14394,14467,4757430,5497090,5097570,3368.926,3400.439,3436.645,1.412150341,1.616582447,1.483298391
117,Uzbekistan,22.50391769,40.71001434,37.08973694,1581,2205,1643,25441800,21639200,24265500,28977.006,30426.394,31959.774,0.877999611,0.71119831,0.759251301
119,Zambia,21.36491013,35.64487076,45.86325836,1140,1321,1104,8164550,10114900,13438500,14023.199,15399.793,16853.608,0.582217367,0.656820517,0.797366356
120,Zimbabwe,39.65121078,32.38925171,55.28513718,793,1134,1233,9200000,11798700,14092100,12894.323,13586.71,14236.599,0.713492286,0.868400076,0.989850174
